to recognise|anerkennen
the limit|die Beschränkung(en)
to apply for (reflexive)|(sich) bewerben um
to arrive (starts with "ein")|eintreffen
the impression|der Eindruck(¨e)
the misery|das Elend(-)
to develop, open up|erschließen
the qualified employee|die Fachkraft(¨e)
the vehicle manufacture|der Fahrzeugbau
the stranger|der Fremdling(e)
the present (tense, not gift)|die Gegenwart
small (starts with g)|gering
the gesture|die Geste(n)
accusomed/used to|gewohnt
the budget (starts with H)|der Haushalt(e)
to produce, establish (starts with h)|herstellen
the respect (starts with H)|die Hinsicht(en)
of high value|hochwertig
to giggle|kichern
to coordinate|koordinieren
to create (starts with k)|kreieren
the relaxation|die Lockerung(en)
to lack (starts with m)|mangeln
the need to catch up|der Nachholbedarf(e)
the curiosity|die Neugierde(-)
to nod|nicken
visually|optisch
biased, taking sides|parteiisch
the recruitment|die Personalbeschaffung(en)
the care|die Pflege(-)
the safety, security (starts with S)|die Sicherheit
playful|spielerisch
the recipient of state benefits|der Transferleistungsempfänger(-)
indisputably|unbestreitbar
the firm|das Unternehmen(-)
the loss (starts with V)|der Verlust(e)
the understanding (starts with "Ve")|die Verständigung(en)
the surprise|die verwunderung(en)
the provision|die Vorsorge(n)
the competitiveness|die Wettbewerbsfähigkeit(en)
for the sake of|(um) ... willen
the welfare|das Wohlbefinden(-)
the driving force, driver|das Zugpferd(e)
the immigration|die Zuwanderung
the detail|die Angabe(n)
in the face of (+ case)|angesichts (+ gen)
to take hold of|anpacken
the effort|die Anstrengung(en)
to maintain|aufrechterhalten
to deport (Swiss German)|ausschaffen
to pay off (reflexive)|(sich) auszahlen
the need (starts with B)|das Bedürfnis(se)
the contribution, article|der Beitrag(¨e)
to load, put a strain on|belasten
the strain|die Belastung(en)
to take into consideration|berücksichtigen
to speed up, accelerate|beschleunigen
to debate about (+ case)|die Debatte(n) um (+ acc)
to deport|deportieren
to check, control|eindämmen
to fight for, support (reflexive)|sich einsetzen
the relief (of the strain)|die Entlastung(en)
decisive|entscheidend
the skilled/qualified workers (this is plural)|die Fachräfte
fiscal|fiskalisch
to support, promote|fördern
the formula|die Formel(n)
to endanger|gefährden
in accordance with|gemäß
true (starts with g)|gerecht
to grant|gewähren
local (starts with h)|heisig
with regard to|hinsichtlich
to point to|hinweisen
the degree|der Hochschulabschluss(¨e)
able to be integrated|integrierbar
the skill, competence|die Kompetenz(en)
consistent, logical|konsequent
the consensus|der Konsens(e)
future (adjective)|künftig
the programme, plan|das Konzept(e)
the fighting of abuse|die Missbrauchsbekämpfung(en)
the economist (male)|der Ökonom(en)
the economist (female)|die Ökonomin(nen)
the quota|die Quote(n)
the appeal period|die Rekursfrist(en)
the conclusion|die Schlussfolgerung(en)
to shrink|schrumpfen
needing protection|schutzbedürftig
the regulation|die Steuerung(en)
to support|stützen
the scenario|das Szenarium(-rien)
immediately|umgehend
to implement|umsetzen
the spread|die Verbreitung(en)
the agreement|die Vereinbarung(en)
the process|das Verfahren(-)
persecuted (starts with v)|verfolgt
the failure|das Versagen(-)
the treaty|der Vertrag(¨e)
under international law|völkerrechtlich
to produce, submit (starts with v)|vorlegen
the value, worth|der Wert(e)
the benefit|das Wohl(-)
the solidarity|der Zusammenhalt
